"filename", "language", "XML", "Java", "Java Properties", "Docker", "Batch", "comment", "blank", "total"
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientReviewResponse.java", "Java", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientRewardLogResponse.java", "Java", 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientRewardResponse.java", "Java", 0, 8, 0, 0, 0, 0, 4, 12
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientSimpleOrderRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientSimpleOrderResponse.java", "Java", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientSimpleReviewResponse.java", "Java", 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientWaybillResponse.java", "Java", 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientWishRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientWishResponse.java", "Java", 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\UpdateQuantityType.java", "Java", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\customer\CustomerGroupRequest.java", "Java", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\customer\CustomerGroupResponse.java", "Java", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\customer\CustomerRequest.java", "Java", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\customer\CustomerResourceRequest.java", "Java", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\customer\CustomerResourceResponse.java", "Java", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\customer\CustomerResponse.java", "Java", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\customer\CustomerStatusRequest.java", "Java", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\customer\CustomerStatusResponse.java", "Java", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\DepartmentRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\DepartmentResponse.java", "Java", 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\EmployeeRequest.java", "Java", 0, 12, 0, 0, 0, 0, 3, 15
